Time (UTC +02:00 yyyy-MM-dd HH:mm:ss);Frequency (A) (Hz)
2026-05-13 10:24:43;210084,03
2026-05-13 10:24:43;132978,72
2026-05-13 10:24:43;201612,89
2026-05-13 10:24:43;322164,97
2026-05-13 10:24:43;238549,62
2026-05-13 10:24:43;122549,016
2026-05-13 10:24:43;208333,33
2026-05-13 10:24:43;191326,52
2026-05-13 10:24:43;119047,62
2026-05-13 10:24:43;333333,3
2026-05-13 10:24:43;174825,17
2026-05-13 10:24:43;176886,8
2026-05-13 10:24:43;240384,61
2026-05-13 10:24:43;234962,4
2026-05-13 10:24:43;164473,67
2026-05-13 10:24:43;120192,305
2026-05-13 10:24:43;71839,08
2026-05-13 10:24:43;245098,03
2026-05-13 10:24:43;122549,016
2026-05-13 10:24:43;224550,9
2026-05-13 10:24:43;191326,55
2026-05-13 10:24:43;170454,53
2026-05-13 10:24:43;367647,06
2026-05-13 10:24:43;238095,23
2026-05-13 10:24:43;245098,03
2026-05-13 10:24:44;201612,9
2026-05-13 10:24:44;328947,38
2026-05-13 10:24:44;171232,88
2026-05-13 10:24:44;152439,03
2026-05-13 10:24:44;317029
2026-05-13 10:24:44;271739,12
2026-05-13 10:24:44;187125,75
2026-05-13 10:24:44;181159,42
2026-05-13 10:24:44;108695,65
2026-05-13 10:24:44;231481,5
2026-05-13 10:24:44;228658,55
2026-05-13 10:24:44;290697,7
2026-05-13 10:24:44;218023,25
2026-05-13 10:24:44;132978,72
2026-05-13 10:24:44;247524,75
2026-05-13 10:24:44;91911,76
2026-05-13 10:24:44;185185,17
2026-05-13 10:24:44;203804,34
2026-05-13 10:24:44;303398,06
2026-05-13 10:24:44;117924,54
2026-05-13 10:24:44;138888,89
2026-05-13 10:24:44;155279,5
2026-05-13 10:24:44;284090,9
2026-05-13 10:24:44;247524,75
2026-05-13 10:24:44;223214,3
2026-05-13 10:24:44;86405,52
2026-05-13 10:24:44;135869,56
2026-05-13 10:24:44;301204,8
2026-05-13 10:24:44;96153,85
2026-05-13 10:24:44;290697,7
2026-05-13 10:24:44;229357,81
2026-05-13 10:24:44;217013,89
2026-05-13 10:24:44;135869,56
2026-05-13 10:24:44;122549,016
2026-05-13 10:24:44;71839,08
2026-05-13 10:24:44;390625,03
2026-05-13 10:24:44;255102,05
2026-05-13 10:24:44;88652,484
2026-05-13 10:24:44;110619,46
2026-05-13 10:24:44;279850,75
2026-05-13 10:24:44;167410,72
2026-05-13 10:24:44;176886,8
2026-05-13 10:24:44;267857,12
2026-05-13 10:24:44;199468,08
2026-05-13 10:24:44;120192,305
2026-05-13 10:24:44;271739,12
2026-05-13 10:24:44;70224,72
2026-05-13 10:24:44;93984,96
2026-05-13 10:24:44;153688,53
2026-05-13 10:24:44;274122,8
2026-05-13 10:24:44;252525,25
2026-05-13 10:24:44;163398,7
2026-05-13 10:24:44;143678,16
2026-05-13 10:24:44;264830,5
2026-05-13 10:24:44;120967,74
2026-05-13 10:24:44;95419,84
2026-05-13 10:24:44;113636,37
2026-05-13 10:24:44;NaN
2026-05-13 10:24:44;308642
2026-05-13 10:24:44;125838,93
2026-05-13 10:24:44;121753,24
2026-05-13 10:24:44;152439,03
2026-05-13 10:24:44;148809,53
2026-05-13 10:24:44;187500
2026-05-13 10:24:44;255102,05
2026-05-13 10:24:44;144230,77
2026-05-13 10:24:44;195312,5
2026-05-13 10:24:44;176056,34
2026-05-13 10:24:44;225903,61
2026-05-13 10:24:44;204248,36
2026-05-13 10:24:44;260416,67
2026-05-13 10:24:44;90579,71
2026-05-13 10:24:44;122549,016
2026-05-13 10:24:44;140449,44
2026-05-13 10:24:44;125838,93
2026-05-13 10:24:44;250000
2026-05-13 10:24:44;104166,664
2026-05-13 10:24:44;220588,25
2026-05-13 10:24:44;233644,84
2026-05-13 10:24:44;132978,72
2026-05-13 10:24:44;309405,94
2026-05-13 10:24:44;176886,8
2026-05-13 10:24:44;156250
2026-05-13 10:24:44;297619,06
2026-05-13 10:24:44;89285,72
2026-05-13 10:24:44;147058,83
2026-05-13 10:24:44;355113,66
2026-05-13 10:24:44;60096,152
2026-05-13 10:24:44;148809,53
2026-05-13 10:24:44;237341,77
2026-05-13 10:24:44;213675,2
2026-05-13 10:24:44;231481,5
2026-05-13 10:24:44;125000
2026-05-13 10:24:44;318877,56
2026-05-13 10:24:44;208333,33
2026-05-13 10:24:44;250000
2026-05-13 10:24:44;177304,97
2026-05-13 10:24:44;154958,67
2026-05-13 10:24:44;223214,3
2026-05-13 10:24:44;238549,62
2026-05-13 10:24:44;187500
2026-05-13 10:24:44;352112,7
2026-05-13 10:24:44;246063
2026-05-13 10:24:44;109649,125
2026-05-13 10:24:44;136612,03
2026-05-13 10:24:44;229357,78
2026-05-13 10:24:44;109649,125
2026-05-13 10:24:44;237341,77
2026-05-13 10:24:44;328947,38
2026-05-13 10:24:44;138888,89
2026-05-13 10:24:44;303398,03
2026-05-13 10:24:44;206611,58
2026-05-13 10:24:44;292056,1
2026-05-13 10:24:44;231481,47
2026-05-13 10:24:44;119047,62
2026-05-13 10:24:44;177304,97
2026-05-13 10:24:44;260416,64
2026-05-13 10:24:44;145348,84
2026-05-13 10:24:44;292056,1
2026-05-13 10:24:44;171232,88
2026-05-13 10:24:44;224820,12
2026-05-13 10:24:44;367647,03
2026-05-13 10:24:44;186567,16
2026-05-13 10:24:44;51229,504
2026-05-13 10:24:44;192307,7
2026-05-13 10:24:44;69444,445
2026-05-13 10:24:44;172413,81
2026-05-13 10:24:44;187500
2026-05-13 10:24:44;206043,95
2026-05-13 10:24:44;217013,89
2026-05-13 10:24:44;151209,67
2026-05-13 10:24:44;223214,3
2026-05-13 10:24:44;150000
2026-05-13 10:24:44;215517,23
2026-05-13 10:24:44;86805,555
2026-05-13 10:24:44;275735,3
2026-05-13 10:24:44;181159,42
2026-05-13 10:24:44;242718,44
2026-05-13 10:24:44;NaN
2026-05-13 10:24:44;168918,92
